Tanaman,Nama,Lama Panen,Penyiraman,Jarak Tanam,Modal Bibit,Jml Bibit,Musim,Penyemaian,Bibit/lubang,Harga jual/kg
Sayur,Tomat,63 hari,Secukupnya/hari,70-80 cm,1500,90,Kemarau,Butuh,1,"14,000"
Sayur,Kangkung,30-40 hari,Banyak/siang,10-15 cm,1000,300,Penghujan/kemarau,Butuh,9,"24,000"
Sayur,Bayam,38-55 hari,"Banyak,2kali/hari (siang,sore)",7-15cm,7000,250,Kemarau,Butuh,3,"15,000"
Sayur,Brokoli,60-100 hari,2-4kali/minggu,40-50 cm,25000,500,Awal penghujan/Awal kemarau,Butuh,1,"30,000"
Sayur,Wortel,100 hari,1-2kali/minggu,40-60 cm,1000,150,Awal kemarau,Butuh,1,"12,000"
Sayur,Cabai,70-75 hari,"0,1-1,3liter/hari",50-60 cm,3000,90,Akhir hujan,Butuh,3,"40,000"
Sayur,Selada,40-60 hari,Banyak/hari,15-20 cm,10000,500,Akhir hujan,Butuh,1,"30,000"
Sayur,Sawi,60 hari,Secukupnya/sore,25-30 cm,3500,200,Penghujan,Butuh,5,"18,000"
Sayur,Terong,70-80 hari,"Secukupnya,2kali/hari(siang,sore)",50-70 cm,1000,25,Kemarau,Butuh,1,"15,000"
Sayur,Kacang Panjang,40-45 hari,"Secukupnya,2kali/hari(siang,sore)",60-75 cm,1000,25,Awal penghujan/Awal kemarau,Tidak,1,"25,000"
Sayur,Kubis,75-88 hari,"Secukupnya,1-2 kali/hari(siang,sore)",40-70 cm,2000,30,Awal penghujan/Awal kemarau,Butuh,2,"14,000"
Sayur,Timun,60 hari,Secukupnya/sore,40 cm,25000,400,Kemarau,Butuh,1,"10,000"
Sayur,Bawang Putih,90-120 hari,"Secukupnya,2-3kali/minggu",15 cm,7000,30,Akhir penghujan,Tidak,1,"22,500"
Sayur,Bawang Merah,55-70 hari,Secukupnya/sore,15-20 cm,8000,120,Kemarau,Tidak,1,"30,000"
Sayur,Paprika,85-90 hari,Secukupnya/sore,25-38 cm,13000,20,Kemarau,Butuh,1,"63,000"
Pangan,Kentang,90-95 hari,Secukupnya/sore,30-40cm,2200,1,Penghujan,Butuh,1,"14,000"
Pangan,Jagung,86-96 hari,Banyak/hari,70-75 cm,22000,200,Kemarau,Butuh,1,"3,500"
Pangan,Ubi Jalar,3-4 bulan,"Secukupnya,2kali/hari(siang,sore)",30 cm,76000,100,Akhir penghujan,Tidak,1,"8,000"
Pangan,Singkong,6-8 bulan,"Genangan air,2minggu/sekali",60-80 cm,10000,10,Penghujan/kemarau,Tidak,1,"2,500"
Pangan,Lobak,24-60 Hari,"Secukupnya,2kali/hari(siang,sore)",30 cm,10000,90,Penghujan/awal kemarau,Tidak,2,"10,000"
Rempah,Jahe,3-4 bulan,"Secukupnya,2kali/hari(siang,sore)",60 cm,1000,1,Akhir penghujan/awal kemarau,Butuh,1,"12,000"
Rempah,Lengkuas,10-12 bulan,Secukupnya/sore,60-70 cm,3500,1,Penghujan,Tidak,1,"20,000"
Rempah,Kunyit,11-12 bulan,"Secukupnya,2-3 hari sekali",60 cm,1500,1,Awal penghujan,Tidak,1,"18,000"
Rempah,Temulawak,9-10 bulan,"Secukupnya,1-2 kali/hari(siang,sore)",60 cm,1000,1,Awal penghujan,Tidak,1,"12,000"
Rempah,Daun Sirih,1 tahun,Secukupnya/sore,200 cm,15000,1,Awal penghujan,Tidak,1,"120,000"
Rempah,Kencur,8-12 bulan,"Secukupnya,2kali/hari(siang,sore)",40-80 cm,3300,1,Awal penghujan,Tidak,3,"20,000"
Rempah,Kunci,1 tahun,Secukupnya/sore,30 cm,3500,1,Kemarau,Tidak,1,"80,000"
Rempah,Sereh,8 bulan,"Secukupnya,1-2 kali/hari(siang,sore)",50-100 cm,1000,1,Penghujan,Tidak,1,"10,000"
Rempah,Brotowali,"3,5-4 bulan","Secukupnya,2kali/hari(siang,sore)",100 cm,2500,1,Kemarau,Tidak,1,"28,000"